uuid,Keywords,label
0,impact smoking intensity; concentrations smokers smoking; prospective population based; concentrations smokers; population positive; ctni dose dependent; ago concentrations hs; consumption sensitivity; population current cigarette; consumption; prospective population; cardiovascular events population; troponin measured sensitivity; ctni smokers dose; conclusions population current; troponins cigarette smoking; smokers conclusions population; tobacco; health study; cigarette smoking concentrations; cardiac troponin measured; conclusions population; concentrations cardiac troponin; troponin measured; ctni concentrations; hs ctni concentrations; troponin population hunt; ctni concentrations measured; population hunt study; ctni concentrations smokers; study tobacco habits; tobacco habits; study tobacco; troponin population; tobacco habits reported; cardiac troponin population; trondelag health study; health study tobacco; tobacco consumption; tobacco consumption sensitivity,1
496,methodology criteria hierarchy; process distributed; risks criteria hierarchy; wind power received; management distributed; wind power investment; sustainable development; result risk electricity; analytic hierarchy; wind power literature; power system; wind farm political; risks analytic hierarchy; implementing analytic hierarchy; distributed wind projects; risk management; wind power; wind energy; hierarchy process; hierarchy process ahp; distributed wind farm; distributed wind; cycle distributed wind; factors distributed wind; system sustainable development; risk management distributed; wind power system; energy implementing; analytic hierarchy process; power system sustainable; development distributed wind; impact distributed wind; hierarchy process distributed; distributed wind power; energy implementing analytic; distributed wind energy; risk distributed wind; process distributed wind; wind energy implementing; management distributed wind,0
497,exchangers; pipe diameter borehole; grout materials borehole; borehole; borehole depth continuous; utilize geothermal; geothermal energy performance; optimization; boreholes; parameters depth geological; exchangers deep; heat extraction; materials borehole; utilization; extraction rate outer; sensitivity analysis heat; borehole depth; diameter borehole; boreholes alternative; analysis heat; diameter borehole depth; borehole depth flow; materials borehole depth; deep borehole; utilization deep; heat extraction rate; deep boreholes; analysis heat extraction; optimization utilization; installed deep boreholes; heat exchangers dbhe; deep boreholes alternative; borehole heat; optimization utilization deep; heat exchangers; deep borehole heat; exchangers deep borehole; heat exchangers deep; utilization deep borehole; borehole heat exchangers,0
498,analyzing annual dynamics; images investigate annual; surface ais scale; investigate annual dynamics; dynamics anthropogenic impervious; optical data scale; anthropogenic impervious; optical images; optical sar; radar sar; bright impervious surface; optical datasets; comparing optical; ais optical; temporal dynamics anthropogenic; impervious surface; synthetic aperture; comparing optical data; optical sar data; complementary synthetic aperture; observed comparing optical; fusion sar optical; sar optical; sar optical data; annual dynamics anthropogenic; impervious surface scale; incorporating synthetic aperture; incorporating optical sar; impervious surface ais; ais optical datasets; optical images investigate; extraction ais optical; incorporating optical; radar optical; aperture radar; aperture radar sar; anthropogenic impervious surface; radar optical images; aperture radar optical; synthetic aperture radar,0
499,beijing tianjin; 13 cities beijing; tianjin hebei region; relationship pm2 concentration; economic factor; beijing tianjin hebei; pollution haze pollution; factor environment factor; concentration interaction factors; pollution control; haze pollution environment; impact pm2; pollution environment; exploring economic environment; enhance impact pm2; pm2 concentration interaction; pm2 concentration; factors pm2; region air pollution; environment factors; key factors pm2; concentration study provided; impacts pm2; interaction impacts pm2; concentration study; economic factor environment; cities beijing; devise pm2 pollution; pm2 pollution; cities beijing tianjin; impact pm2 concentration; factors pm2 concentration; economic environment factors; pm2 pollution control; impacts pm2 concentration; environment factors pm2; study beijing; pm2 concentration study; study beijing tianjin; concentration study beijing,0
500,social instability challenges; social hierarchies; challenges; questions challenges; dominance trajectories individual; hierarchy dynamics individual; clarity hierarchy dynamics; underlying dyadic dominance; hierarchy dynamics; challenges solutions; challenges solutions social; dominance trajectories; dynamical view dominance; dominance relationships origins; dyadic dominance relationships; solutions social hierarchies; questions challenges solutions; study dominance; dominance provide; produce dominance trajectories; dyadic dominance; dominance relationships; view dominance provide; prospects study dominance; testing hypotheses dominance; dominance provide agenda; dominance; view dominance; produce dominance; study dominance hierarchies; dynamics dominance; processes produce dominance; dominance dynamics term; dominance hierarchies; hypotheses dominance; dynamics dominance questions; dominance questions; dominance dynamics; hypotheses dominance dynamics; dominance questions challenges,1
501,peaches peach stone; quality flordaking peaches; impact quality peach; peaches peach; rootstock reciprocal; rootstocks weeks; grafted rootstocks; effects; fruit influenced quality; rootstocks weeks studied; reciprocal effects post; metabolomics; fruit rootstocks; fruit rootstocks weeks; scion rootstock; stored peaches peach; consecutive fruit rootstocks; peaches; fruit influenced; flordaking peaches; scion rootstock reciprocal; rootstock impact quality; influence scion; harvest metabolomics; post harvest metabolomics; effects post harvest; stored peaches; reciprocal effects; metabolomics regulation stored; influence rootstocks gf; rootstock impact; metabolomics regulation; influence scion rootstock; selection rootstock impact; influence rootstocks; study influence rootstocks; harvest metabolomics regulation; peach fruit influenced; regulation stored peaches; rootstock reciprocal effects,1
502,urban forms calculated; cities impact complexity; 264 chinese cities; forms co2; analyze relationships urban; low carbon economy; complexity urban forms; complexity correlation co2; carbon economy consideration; forms calculated urban; processed co2; cities impact; correlation co2; co2 emissions hot; co2 emission relationships; emissions urban; impact complexity urban; co2 emissions low; emissions urban form; co2 emissions 264; co2 emissions scenarios; co2 emissions sized; co2 emission; effects urban; urban form co2; irregularity impact co2; co2 emissions control; urban forms co2; effects urban forms; form co2 emission; co2 emissions; impact co2; evaluating effects urban; processed co2 emissions; forms co2 emissions; co2 emissions cities; correlation co2 emissions; impact co2 emissions; co2 emissions china; co2 emissions urban,0
503,land eastern; northeastern china compared; 30 provinces china; distance strong; approach cultivated; productivity clutfp growth; land technical; technical efficiency; frontier approach; land total factor; northeastern china environmentally; production frontier varying; employed minimum distance; production frontier; efficiency china; minimum distance; efficient frontier undesirable; minimum distance strong; land efficiency clue; cultivated land; closer production frontier; cultivated land total; efficiency china minimum; frontier approach cultivated; cultivated land eastern; differences cultivated land; approach cultivated land; growth cultivated land; cultivated land technical; provincial cultivated land; efficient frontier; distance strong efficient; land efficiency; land technical efficiency; china minimum distance; dynamic cultivated land; strong efficient frontier; cultivated land efficiency; efficient frontier approach; land efficiency china,0
504,tl1 gene amplified; mutations leu; mitochondrial dna sequenced; cardiovascular diseases; dna mutation; cardiovascular diseases subjects; heart diseases; diseases cardiovascular; subjects cardiovascular diseases; subjects mutation; trna gene population; cardiovascular diseases cvd; tl1 gene; heart diseases cardiovascular; gene patients; diseases cardiovascular diseases; leucine trna gene; mutation mitochondrial; dna mutations; mitochondrial leucine; mt tl1 gene; cardiovascular diseases studied; cardiovascular diseases study; mitochondrial leucine trna; mutations leu trna; subjects mutation mitochondrial; dna mutation mitochondrial; diseases subjects mutation; mutation mitochondrial dna; patients heart diseases; analysis mutations; gene patients heart; diseases studied mitochondrial; mutations cardiovascular; mitochondrial dna mutations; mutation mitochondrial leucine; mutations cardiovascular diseases; trna gene patients; dna mutations cardiovascular; analysis mutations leu,1
505,china 2003 2050; arbor forest carbon; forests reducing emissions; forest ecosystem; carbon sink forest; forest biomass carbon; storage forest vegetation; forest carbon storage; forest vegetation tibet; 2003 2050 predicting; future forest; forest vegetation; growth forest; forest vegetation absorb; forest vegetation ningxia; china forest carbon; based growth forest; carbon sequestration potential; mature forests china; china forest vegetation; role forests reducing; breakthrough predicting forest; forest ecosystem biomass; density forest vegetation; predicting forest; forest vegetation involved; carbon density forest; 2013 forest ecosystem; forest vegetation xinjiang; potential forest vegetation; growth forest vegetation; predicting forest biomass; forest vegetation china; predicting future forest; forest vegetation growth; future forest vegetation; predicting forest vegetation; sequestration potential forest; 2050 china forest; 2050 predicting forest,0
506,ag cao antibacterial; cao nanoparticles sunlight; cao silver oxalate; recycling calcium; effective photocatalytic; shell recycling; specially materials recycling; oxide cao nanocrystals; displayed effective photocatalytic; effective photocatalytic activity; materials recycling kinds; wastewater recycling calcium; stemming egg shell; oxalate composite silver; potent photocatalytic; silver oxalate composite; nanoparticles loaded; photocatalytic antibacterial; calcium oxide; cao nanoparticles; ag cao nanoparticles; silver nanoparticles; calcium oxide cao; oxide eggshell; photocatalytic antibacterial activities; calcium oxide stemming; calcium oxide ag; loaded calcium oxide; eggshell recycling; potent photocatalytic antibacterial; recycling potent photocatalytic; egg shell recycling; recycling calcium oxide; composite silver nanoparticles; silver nanoparticles loaded; shell recycling potent; oxide eggshell recycling; calcium oxide eggshell; eggshell recycling calcium; nanoparticles loaded calcium,0
507,outcomes; linear regression; connectivity addition; coefficients; estimated coefficients; matrix penalized generalized; coefficient; coefficient estimation providing; data modality frequently; regression coefficient; connectivity; modalities data modality; propose regularization; connectivity informed; improves regression coefficient; derived structural connectivity; method generalized; propose regularization method; regression coefficient estimation; mutual propose regularization; penalized generalized; generalized; informed adaptive; scalar outcome generalized; regularization; regularization method; generalized linear; generalized linear regression; penalized generalized linear; generalized outcomes challenging; regularization method generalized; outcome generalized; regularization generalized; adaptive regularization; outcome generalized linear; connectivity informed adaptive; generalized outcomes; adaptive regularization generalized; informed adaptive regularization; regularization generalized outcomes,1
508,cov virus concentration; wastewater detection; epidemiology; primary concentration methods; epidemiology wbe; mini review outbreak; pandemic; methodology wastewater; insights primary concentration; methodology wastewater based; primary concentration; 19 wastewater; based epidemiology; concentration critical; detection wastewater; based epidemiology wbe; epidemiology wbe development; based epidemiology covid; concentration wastewater samples; pandemic mini; implementing wastewater; detection wastewater highly; wastewater detection studies; epidemiology covid; covid 19 wastewater; concentration wastewater; critical step; implementing wastewater based; 19 pandemic; epidemiology covid 19; primary concentration critical; 19 wastewater detection; step implementing wastewater; pandemic mini review; covid 19 pandemic; 19 pandemic mini; wastewater based epidemiology; virus concentration wastewater; critical step implementing; concentration critical step,0
509,behavior disorder irbd; phenoconversion idiopathic; cardiovascular diseases metabolic; suggested atherosclerotic diseases; synucleinopathies prospective; cardiovascular diseases; diseases metabolic risk; atherosclerotic diseases; cardiovascular risk; hypercholesterolemia develop dementia; diabetes risk factors; factors phenoconversion; synucleinopathies patients; metabolic risk; cardiovascular disorders hypertension; development synucleinopathies patients; type phenoconversion idiopathic; synucleinopathies patients hypercholesterolemia; atherosclerotic risk; development synucleinopathies; synucleinopathies; cardiovascular disorders; idiopathic rem sleep; synucleinopathies idiopathic; neurodegenerative; sleep behavior disorder; synucleinopathies idiopathic rem; cardiovascular risk factors; factors synucleinopathies prospective; metabolic risk factors; phenoconversion neurodegenerative; risk factors phenoconversion; factors development synucleinopathies; atherosclerotic risk factors; factors synucleinopathies; factors phenoconversion neurodegenerative; neurodegenerative synucleinopathies idiopathic; neurodegenerative synucleinopathies; phenoconversion neurodegenerative synucleinopathies; risk factors synucleinopathies,1
510,fresh water production; anaerobic membrane bioreactor; anmbr technologies municipal; treatment energy production; minimum wastewater; forward osmosis; treatment energy water; techno economic; regeneration water; economic feasibility combining; economic analysis combining; membrane bioreactor technologies; production minimum wastewater; anmbr wastewater; wastewater; osmosis ro anaerobic; osmosis anaerobic; maximising water production; energy water production; technologies municipal; combining forward osmosis; solution regeneration water; osmosis anaerobic membrane; minimum wastewater treatment; production anmbr wastewater; treatment water production; water production analysed; reverse osmosis anaerobic; water production economic; techno economic analysis; regeneration water production; bioreactor technologies municipal; wastewater treatment cost; anmbr wastewater treatment; wastewater treatment; wastewater treatment water; municipal wastewater; wastewater treatment energy; municipal wastewater treatment; technologies municipal wastewater,0
511,growth urbanization reduce; effects sectors carbon; manufacturing urbanization; caused activities agriculture; emissions indonesia; carbon emissions subject; economic growth urbanization; urbanization induced; indonesia agriculture; carbon emission; emissions indonesia bidirectional; carbon emissions; urbanization economic growth; emissions economic growth; impact environmental; growth emissions; indonesia agriculture manufacturing; sector emissions manufacturing; unidirectional causality emissions; sectors carbon emissions; urbanization reduce impact; agriculture manufacturing urbanization; emissions urbanization; causality relationship emissions; manufacture urbanization induced; agriculture manufacture urbanization; emission indonesia; urbanization enrich environmental; relationship emissions economic; growth emissions agricultural; causality emissions; gas emissions indonesia; agricultural sector emissions; emissions urbanization economic; economic growth emissions; induced carbon emission; emission indonesia agriculture; urbanization induced carbon; carbon emission indonesia; causality emissions urbanization,0
512,achieve sustainability; assessment hybrid; consumption carbon emissions; lastly sustainability; assisted machining; assisted machining ti; economical technological; environmental parameters; terms machinability; sustainability; analysis energy; sustainability assessment revealed; dry sustainability assessment; compared dry sustainability; machining environmental indices; heat generation environmental; cooling assisted machining; energy consumption carbon; produced achieve sustainability; lastly sustainability assessment; analysis energy consumption; ecological economical; economic analysis energy; evaluated terms machinability; technological perspectives; sustainability assessment; assessment hybrid cooling; ecological economical technological; 6al alloy ti; technological perspectives based; machining environmental; lowering machining environmental; based sustainability; 6al alloy acknowledged; sustainability assessment hybrid; ti 6al alloy; based sustainability assessment; 6al alloy; economical technological perspectives; perspectives based sustainability,0
513,levels air; investigated levels; megacities diminishing pressure; health study; beneficial health effects; quality covid 19; 19 megacities diminishing; dioxide no2 month; health effects; study investigated levels; tropospheric ozone levels; epidemic covid 19; ozone levels; pressure hospitals health; 19 pandemic air; beneficial health; lessons challenges public; lessons challenges; consideration health; air pollutants carbon; air pollutants; pandemic air pollution; covid 19 megacities; 19 megacities; pollution levels; air pollution; 2019 urban air; hospitals health; investigated levels air; public health study; air quality; megacities lessons; public health; air quality covid; levels air pollutants; cities consideration health; air pollution levels; 19 megacities lessons; challenges public health; megacities lessons challenges,0
514,carbon emissions; sectors china; sector coverage china; economic outputs industrial; provincial industrial; china provincial; pilot emissions; carbon emission reductions; schemes competitiveness empirical; china economic; industry province; china economic development; china pilot; analysis provincial; perspective china provincial; emissions competitiveness; emissions trading; emissions economic; competitiveness empirical analysis; emissions economic outputs; provincial industrial sectors; emissions competitiveness paper; employment empirical china; emission reductions china; analyze impact china; coverage china pilot; impact china pilot; empirical china pilot; trading schemes competitiveness; sectors china economic; carbon emissions economic; industrial sectors china; empirical analysis provincial; emissions trading scheme; china provincial industrial; impact emissions trading; emissions trading schemes; pilot emissions trading; analysis provincial industrial; china pilot emissions,0
515,region northern jiangsu; values jiangsu; improve quality ecological; service values jiangsu; mechanisms regions jiangsu; change caused land; environmental degradation; discussed land ecological; regions jiangsu; jiangsu inland; china ecosystem; ecological environment china; land jiangsu; land jiangsu predicted; land increase 2025; simulate land change; optimization ecosystem; land effects; land change; land ecological; increasing land development; land change based; china ecosystem services; environmental degradation improve; land increase; 2025 jiangsu province; jiangsu province chinese; total land increase; jiangsu inland region; optimization ecosystem service; jiangsu province china; land ecological protection; change optimization ecosystem; jiangsu province; land effects regional; land china ecosystem; regions jiangsu province; conversion land effects; values jiangsu province; land change optimization,0
516,health timing; trigger vascular; brain injury advances; targeting inflammation treatment; consequential roles vascular; cerebrovascular disease essential; acting trigger vascular; taught time brain; varying cerebrovascular disease; cerebrovascular disease; brain injury; treatment cerebrovascular disease; undoubtedly timing brain; targeting inflammation; link vascular; time brain; brain injury evidenced; inflammation treatment cerebrovascular; role cerebrovascular; inflammation link; inflammatory processes vascular; brain health acting; time brain targeting; vascular brain; vascular brain injury; repair vascular brain; timing brain; processes vascular brain; brain inflammation myriad; brain inflammation; brain targeting inflammation; trigger vascular brain; brain health; roles vascular brain; link vascular brain; inflammation link vascular; vascular brain health; brain health timing; health timing brain; timing brain inflammation,1
517,characteristics compression; distribution characteristics observed; microscale fiber; flexural properties; adhesion flowability cement; flexural behavior fiber; modified hybrid; calcium carbonate; distribution characteristics mechanical; cementitious composites spfrcc; carbonate whisker modified; distribution characteristics compression; behavior fiber distribution; microscale fiber distribution; improve flexural properties; flowability cement matrix; whisker modified hybrid; reinforced cementitious; characteristics mechanical properties; characteristics observed cw10; pva hybrid fibers; calcium carbonate whisker; fibers reinforced; composites calcium; properties calcium; cementitious composites; cementitious composites cw; evaluation fiber distribution; fiber distribution characteristics; evaluation fiber; hybrid fibers; composites calcium carbonate; experimental evaluation fiber; mechanical properties calcium; cementitious composites calcium; properties calcium carbonate; reinforced cementitious composites; modified hybrid fibers; hybrid fibers reinforced; fibers reinforced cementitious,0
518,trastuzumab 68 pertuzumab; trastuzumab pertuzumab liquid; pertuzumab liquid; pertuzumab; trastuzumab; pertuzumab asparagine complementarity; deamidated trastuzumab lost; deamidation biopharmaceutical proteins; plasma trastuzumab; plasma trastuzumab pertuzumab; test 40 trastuzumab; consequences vivo; binding trastuzumab pertuzumab; vivo deamidation biopharmaceutical; binding trastuzumab; deamidation biopharmaceutical; degree deamidation pharmacological; proteins trastuzumab pertuzumab; 68 pertuzumab deamidated; deamidation pharmacological activity; deamidation pharmacological; proteins trastuzumab; observed plasma trastuzumab; cdrs deamidated trastuzumab; pertuzumab deamidated; receptor binding trastuzumab; pertuzumab deamidation cdrs; trastuzumab pertuzumab deamidation; pertuzumab deamidated trastuzumab; deamidated trastuzumab; consequences vivo deamidation; deamidated trastuzumab pertuzumab; pertuzumab deamidation; deamidation trastuzumab pertuzumab; biopharmaceutical proteins trastuzumab; deamidation trastuzumab; pharmacological consequences; vivo deamidation trastuzumab; analytical pharmacological consequences; pharmacological consequences vivo,1
519,environmental; manufacturing companies turkey; modeling eco; concept eco; gap studying eco; performance evidence; equation modeling eco; environmental financial; performance evidence turkey; reduction economic performance; usage eco; makers adopt eco; studying eco; innovation economic; evidence turkey manufacturing; eco innovation cost; adopt eco innovation; eco innovation begun; innovation environmental; economic performance; eco innovation expected; innovation environmental financial; environmental performance; companies concept eco; environmental financial performance; concept eco innovation; eco innovation direct; modeling eco innovation; usage eco innovation; economic performance findings; studying eco innovation; economic environmental; eco innovation; effects eco; innovation economic environmental; environmental performance evidence; eco innovation environmental; economic environmental performance; eco innovation economic; effects eco innovation,0
520,concrete advancements; physical properties; aggregates properties ultrahigh; material yield; properties ultrahigh performance; substitute aggregate materials; physical properties uhpc; test replacing cement; material yield substantial; prepared ceramic; microstructure properties mixes; metakaolin mk cement; mechanical microstructure properties; concrete uhpc; ceramic waste; aggregate materials; construction material yield; concrete; aggregate materials construction; elicited considerable ceramic; mechanical physical properties; concrete advancements recycling; replacing cement sf; replacing cement; performance concrete advancements; ceramic wastes; considerable ceramic; mineral admixtures; considerable ceramic waste; ceramic waste aggregates; coarse aggregates properties; prepared ceramic wastes; wastes coarse aggregates; performance concrete; performance concrete uhpc; admixtures ceramic; ceramic wastes coarse; ultrahigh performance concrete; admixtures ceramic wastes; mineral admixtures ceramic,0
521,fry oreochromis; extract feed; tds alkalinities tanks; extract supplementation; assessment chemical composition; proximate composition growth; vera extract; powder aleo vera; nile tilapia culturing; tds alkalinities; leaf extract powder; oreochromis niloticus; extract powder aleo; haematological assessment chemical; chemical composition nile; aloe vera; parameters fry oreochromis; feed additives; alkalinities; solids tds alkalinities; 1758 fed levels; levels aloe; additives closed aquaculture; fry oreochromis niloticus; dietary aleo; leaf extract; linnaeus 1758 fed; vera extract supplementation; oreochromis niloticus linnaeus; dietary aleo vera; levels dietary aleo; tilapia oreochromis niloticus; aleo vera extract; fed levels aloe; tilapia oreochromis; vera extract feed; extract feed additives; aloe vera extract; nile tilapia oreochromis; levels aloe vera,1
522,stem cells; stem cells embryonic; diseases retinitis; pathophysiology treatment; progenitor cells; progenitor cells olfactory; pluripotent stem cells; retinal degenerative diseases; application stem cell; retinal progenitor; degenerative diseases retinitis; mesenchymal stem cells; neural stem cells; pigmentosa retinal; transplantation progressing; stem cell progenitor; retinal degenerative; treatment retinitis; retinitis pigmentosa; retinitis pigmentosa rp; pigmentosa retinal degenerative; progenitor transplantation; cells retinal; diseases retinitis pigmentosa; retinitis pigmentosa retinal; cell transplantation; transplantation progressing treatment; retinal progenitor cells; progressing treatment retinitis; cells retinal progenitor; pigmentosa stem cell; cell progenitor transplantation; stem cells retinal; retinitis pigmentosa stem; transplantation retinitis; treatment retinitis pigmentosa; cell transplantation progressing; stem cell transplantation; transplantation retinitis pigmentosa; progenitor transplantation retinitis,1
523,heat power units; application renewable energy; storage technologies integrated; electricity natural gas; integrated electricity; cost integrated energy; heating network growth; networks electricity natural; power units energy; electricity gas district; gas network increasing; district heating connected; heating network; integrated electricity gas; multi carrier energy; renewable energy sources; storage systems; district heating system; cost integrated electricity; networks energy; networks electricity; heating system; energy storage; district heating network; systems optimal operation; heating networks; heating system satisfying; energy markets operation; energy networks; energy system; operation integrated electricity; energy storage technologies; carrier energy storage; storage systems optimal; district heating networks; energy networks electricity; heating networks energy; networks energy networks; integrated energy system; energy storage systems,0
524,gsh image cancer; excitation fluorescence; optimal photon; body concentrated cancer; cancer; ratiometric quantify endogenous; specific tumor marker; vivo photon excitation; cancer glutathione; tpef imaging; mapping redox; vivo photon; photon excitation fluorescence; visualization quantitative; vivo reflecting redox; ratiometric molecular probe; quantitative detection; vitro tumor bearing; ratiometric molecular; concentrated cancer cells; photon visualization; cancer cells vitro; critical mapping redox; concentrated cancer; cells vitro tumor; vitro tumor; fluorescence tpef imaging; image cancer cells; photon visualization quantitative; detection redox; visualization quantitative detection; image cancer; redox status tumor; vivo photon visualization; redox cancer glutathione; redox cancer cells; quantitative detection redox; redox cancer; mapping redox cancer; detection redox cancer,1
525,random network; hopf bifurcation investigate; network; bifurcation; deal delayed nutrient; bifurcation delayed random; bifurcation numerical experiments; delayed random network; hopf bifurcation random; model random network; bifurcation delayed; hopf bifurcation numerical; random network nutrient; critical hopf bifurcation; direction hopf bifurcation; network nutrient; model network; network structure paper; random network structure; random network model; bifurcation random network; subcritical hopf bifurcation; network model rare; network structure employing; hopf bifurcation; microorganism; hopf bifurcation delayed; network structure; bifurcation delayed nutrient; network model; microorganism model random; nutrient microorganism; microorganism model noticing; model network structure; delayed nutrient microorganism; microorganism model exhibit; network nutrient microorganism; microorganism model; nutrient microorganism model; microorganism model network,1
526,reducing stigma police; beneficial agencies support; assess programming mental; health implications; services beneficial agencies; addressing; officers paper; stigma police seeking; officers paper pencil; officers; health wellness; beneficial; police seeking; programs services beneficial; health implications program; aid; services beneficial; police officers; police officers paper; initiatives counseling; initiatives counseling role; health police; wellness initiatives counseling; officer wellness; included officer wellness; services mental; agencies support officers; support officers; police seeking services; addressing mental; mental health implications; mental health wellness; officer wellness initiatives; programming mental health; mental health; seeking services mental; services mental health; health police officers; mental health police; addressing mental health,1
527,rkc income study; ecological footprint; capita renewable; usage renewable; curve rkc income; development ecological footprints; evidence renewable; energy consumption financial; development usage renewable; development ecological; environment kuznets; ecological footprint nexus; kuznets curve; renewable energy prevent; energy economic; energy prevent environmental; energy environment; ekc renewable; development ecological footprint; fresh evidence renewable; verify environmental kuznets; financial development ecological; kuznets curve ekc; kuznets curve rkc; renewable energy consumption; growth capita renewable; renewable energy; usage renewable energy; capita renewable energy; economic development ecological; environmental kuznets; curve ekc renewable; energy economic development; renewable energy environment; renewable energy economic; evidence renewable energy; ekc renewable energy; energy environment kuznets; environment kuznets curve; environmental kuznets curve,0
528,microgrid developments; resources ders; determine optimal der; der sizes meet; stochastic sizing equivalent; stochastic sizing; stochastic sizing method; hourly microgrid dispatch; microgrid dispatch operating; cost effective resilient; resources ders affordable; survivability level optimal; determining optimal sizes; optimal sizes; advances distributed energy; stochastic grid; distributed energy; optimal sizing; stochastic optimal; resilient microgrid developments; modes stochastic grid; designing operating microgrid; microgrid; optimal sizes ders; microgrid ders; hourly hourly microgrid; energy resources; optimal der sizes; sizing distributed energy; resources cost effective; optimal sizing distributed; energy resources cost; operating microgrid ders; energy resources ders; hourly microgrid; operating microgrid; stochastic optimal sizing; distributed energy resources; resilient microgrid; effective resilient microgrid,0
529,storage methanation; power gas technical; gas production; designs electricity sources; renewable energy generation; methanation reactor ii; cycles methanation reactor; barriers power gas; gas technologies; gas technologies offer; power sources greatly; gas plant configuration; methanation reactor; production costs optimizes; operation power; natural gas production; cost benefits optimizing; dynamic operation power; hydrogen production; gas plants; power gas plant; hydrogen storage; synthesized hydrogen production; gas production costs; optimizes power gas; methanation capacities; reduction gas production; capacities power gas; optimizing hydrogen; power gas technologies; costs optimizes power; operation power gas; gas plants dynamic; hydrogen production enable; storage methanation capacities; power gas plants; hydrogen storage methanation; methanation capacities power; optimizing hydrogen storage; benefits optimizing hydrogen,0
530,regional china; levels energy investment; investments energy industry; common correlated effects; energy investment growth; interactions energy; massive investments energy; so2 emissions; causal relationship energy; regional levels energy; causal interactions; causal interactions variables; china massive investments; economic performance regional; pollution influence economic; performance regional china; emissions promotion economic; operative so2 emissions; modeling heterogeneous dynamic; economic growth regional; energy investment so2; influence economic performance; relationship energy investment; so2 emissions energy; enhancement so2 emissions; emissions energy investment; dynamic interactions energy; emissions economic; influence economic; investment so2 emissions; heterogeneous dynamic interactions; dynamic causal interactions; emissions economic performance; so2 emissions growth; growth regional china; emissions economic growth; interactions energy investment; association so2 emissions; causal interactions energy; so2 emissions economic,0
531,aims enhance performance; cover performance pyramid; cover improves; medium thermal; enhancement pyramid; thermal conductivity graphite; shaped thermal; sunset surface glass; absorber plate; pyramid shaped solar; glass cover modified; shaped solar; conductivity absorber; enhance performance; pyramid shaped thermal; stills performance thermal; glass cover cooled; absorber surface cooling; absorbent surface manufacture; solar stills thermal; surface glass cover; cooling glass cover; plate cooling glass; surface cooling glass; solar stills performance; glass cover performance; enhance performance pyramid; performance thermal; shaped solar stills; thermal conductivity; glass cover reduce; absorber plate cooling; characterized thermal conductivity; stills thermal conductivity; thermal conductivity absorber; glass cover achieve; glass cover improves; conductivity absorber plate; shaped thermal conductivity; performance thermal conductivity,0
532,magnetic composite beads; consists synthesis; mnfe2o4 chitosan tga; rates magnetic materials; prepared systems suitable; model drug; magnetic materials release; formed cofe2o4; magnetic composite; chitosan magnetic; beads based chitosan; based chitosan magnetic; formed cofe2o4 chitosan; nanoparticles carried beads; ph model drug; magnetic materials; cofe2o4; magnetic composites study; composites; beads formed cofe2o4; mnfe2o4; delivery systems; cofe2o4 chitosan; mnfe2o4 chitosan; nanoparticles carried; nanoparticles; magnetic composites; chitosan mnfe2o4; magnetic nanoparticles carried; chitosan mnfe2o4 chitosan; magnetic nanoparticles; drug delivery; chitosan magnetic composites; mnfe2o4 chitosan magnetic; cofe2o4 chitosan mnfe2o4; systems cofe2o4; chitosan magnetic nanoparticles; systems cofe2o4 chitosan; drug delivery systems; delivery systems cofe2o4,1
533,health nonhuman primate; dominance relationships; measuring dominance emerged; notion dominance; dominance hierarchy article; accounting nonlinear hierarchical; network approach notion; measures dominance rank; notion dominance ubiquitous; assumptions linearity relationships; dominance rank assesses; provide metric dominance; assessing impact individual; measure dominance rank; perc measures dominance; dominance hierarchy; directions dominance hierarchy; certainty assessing impact; study dominance; dominance hierarchies; certainty individual societal; measures dominance; dominance certainty; complimentary measure dominance; dominance certainty estimated; approach notion dominance; metric dominance certainty; prospects study dominance; reflecting dominance certainty; relationships metric dominance; measure dominance; network approach; primate model network; model network approach; measuring dominance; study dominance hierarchies; dominance certainty individual; approaches measuring dominance; measuring dominance certainty; dominance certainty assessing,1
534,path domain; separation energetically feasible; feasible pathway; protein ocp; pathway dissociation; domain separation; separation domain; domain protein undergoes; domain separation domain; energetically feasible pathway; separation favorable translocation; carotenoid; separation orange; translocation ketocarotenoid canthaxanthin; precede domain separation; elucidate protein; separation domain separation; favorable path; translocation ketocarotenoid; domain separation energetically; involving translocation ketocarotenoid; probable path domain; domain protein; protein orange; cavity domain separation; ocp domain separation; domain separation favorable; feasible pathway dissociation; path domain separation; ocp translocation ketocarotenoid; soluble domain protein; orange carotenoid; favorable path domain; domain separation orange; carotenoid protein; separation orange carotenoid; carotenoid protein ocp; protein orange carotenoid; carotenoid protein orange; orange carotenoid protein,1
